Time,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/25/2020 6:45,26.8,1,13.82,1,735,1,7.54,1,1.26,1,10.24,1
6/25/2020 7:00,26.8,1,13.14,1,735,1,7.54,1,1.31,1,10.4,1
6/25/2020 7:15,26.8,1,13.46,1,735,1,7.54,1,1.34,1,8.95,1
6/25/2020 7:30,26.8,1,12.69,1,735,1,7.54,1,1.36,1,9.31,1
6/25/2020 7:45,26.9,1,13.31,1,736,1,7.54,1,1.39,1,9.64,1
6/25/2020 8:00,26.9,1,12.53,1,736,1,7.54,1,1.43,1,9.22,1
6/25/2020 8:15,27,1,12.57,1,736,1,7.55,1,1.45,1,10.09,1
6/25/2020 8:30,27,1,15.9,1,736,1,7.55,1,1.4,1,10.89,1
6/25/2020 8:45,27,1,14.19,1,736,1,7.55,1,1.44,1,9.55,1
6/25/2020 9:00,27,1,13.76,1,736,1,7.55,1,1.47,1,9.83,1
6/25/2020 9:15,27.1,1,14.37,1,736,1,7.55,1,1.55,1,11.33,1
6/25/2020 9:30,27.2,1,16.13,1,736,1,7.56,1,1.68,1,13.77,1
6/25/2020 9:45,27.2,1,14.32,1,736,1,7.56,1,1.72,1,13.35,1
6/25/2020 10:00,27.2,1,17.64,1,736,1,7.56,1,1.73,1,14.22,1
6/25/2020 10:15,27.3,1,14.88,1,736,1,7.56,1,1.72,1,13.89,1
6/25/2020 10:30,27.3,1,15.7,1,737,1,7.56,1,1.7,1,17.22,1
6/25/2020 10:45,27.3,1,14.23,1,737,1,7.56,1,1.7,1,12.93,1
6/25/2020 11:00,27.3,1,14.66,1,737,1,7.55,1,1.63,1,12.16,1
6/25/2020 11:15,27.4,1,15.06,1,738,1,7.56,1,1.68,1,12.56,1
